Parameters,Recall (%),Time Taken (seconds),Recalls per Second
"10,5,475",98.4,0.025378017425537108,39.404181312986694
"10,5,480",100.0,0.02807140111923218,35.623444506832385
"10,5,485",100.0,0.028148198127746583,35.526252709379214
"10,5,490",100.0,0.028290107250213622,35.348045560783405
"11,2,485",95.39999999999999,0.02670158863067627,37.45095521586848
"11,2,490",100.0,0.03211095809936523,31.14201690605326
"11,3,485",100.0,0.027002472877502442,37.03364519747991
"11,3,490",100.0,0.02883280038833618,34.68272198785564
"11,4,480",97.0,0.026839592456817628,37.25838988087862
"11,4,485",100.0,0.02857015371322632,35.00156177098404
"11,4,490",99.4,0.02954108715057373,33.85115770800529
"11,5,475",96.0,0.026486942768096922,37.75445164643476
"11,5,480",100.0,0.027409155368804932,36.48415963733512
"11,5,485",100.0,0.030873522758483887,32.390213705859175
"11,5,490",100.0,0.027398958206176757,36.49773807000305
"12,2,485",97.6,0.02823982000350952,35.41099057556756
"12,2,490",98.6,0.02929582118988037,34.13456115527593
"12,3,485",97.0,0.02847679615020752,35.11630995022285
"12,3,490",100.0,0.032576758861541745,30.696730888736223
"12,4,480",96.2,0.026609616279602052,37.580399111826466
"12,4,485",100.0,0.03023078203201294,33.07886639985192
"12,4,490",100.0,0.03126326322555542,31.986424218907946
"12,5,475",97.2,0.02720994710922241,36.75126585090144
"12,5,480",99.2,0.02719508409500122,36.77135163497479
"12,5,485",100.0,0.028397512435913087,35.21435204075635
"12,5,490",100.0,0.029672141075134276,33.701646182789815
"13,1,490",92.0,0.02941335439682007,33.99816241659645
"13,2,490",100.0,0.029979846477508544,33.35574118934262
"13,3,480",98.2,0.027650406360626222,36.16583376597262
"13,3,485",99.4,0.027598373889923096,36.23401885881134
"13,3,490",99.8,0.030027742385864257,33.30253693899932
"13,4,475",95.39999999999999,0.02485910654067993,40.22670719736369
"13,4,480",97.8,0.027810983657836914,35.957016562346865
"13,4,485",100.0,0.03026073455810547,33.046124444859046
"13,4,490",100.0,0.03461097002029419,28.892573638174508
"13,5,475",95.6,0.02563293218612671,39.012314031760646
"13,5,480",100.0,0.02728559970855713,36.649368556351966
"13,5,485",100.0,0.029209563732147215,34.235362402877264
"13,5,490",100.0,0.031303532123565674,31.945276847758276
"14,2,490",97.6,0.031572897434234616,31.6727345687221
"14,3,485",96.0,0.027899272441864013,35.84322860331865
"14,3,490",100.0,0.03473422288894654,28.790049606039403
"14,4,480",98.8,0.028716518878936767,34.823162383149736
"14,4,485",100.0,0.03159841775894165,31.64715422236679
"14,4,490",100.0,0.031187088489532472,32.06455133943127
"14,5,475",96.2,0.027441110610961914,36.44167374189766
"14,5,480",100.0,0.029344208240509033,34.078275065521176
"14,5,485",100.0,0.031820635795593265,31.426147686794074
"14,5,490",100.0,0.03045142650604248,32.83918406257815
"15,2,490",97.0,0.029637110233306885,33.74148127559941
"15,3,480",96.39999999999999,0.028260443210601807,35.385149218921434
"15,3,485",100.0,0.029549643993377686,33.84135525369132
"15,3,490",100.0,0.0360284948348999,27.755808411716526
"15,4,480",100.0,0.028800451755523683,34.72167757952646
"15,4,485",100.0,0.031410586833953855,31.836399787317298
"15,4,490",100.0,0.03464667320251465,28.862800019928617
